store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,store_type,other_fields,coming_soon
"Jackson, MS",,1220 E. NORTHSIDE DRIVE,,JACKSON,MS,39211,United States,(601) 362-1781,,,"Monday-Saturday 9-8, sunday 12-6",,,
"West Des Moines, IA",,6630 Mills Civic Pkwy,,West Des Moines,IA,50265,United States,515-457-3036,,,"Monday-Saturday 9-9, sunday 11-6",,,
"Wichita, KS",,2210 N. Rock Road,,WICHITA,KS,67226,United States,(316) 612-9658,,,"Monday-Saturday 9-9, sunday 11-6",,,
"South Portland, ME",,335 MAINE MALL ROAD,,SOUTH PORTLAND,ME,04106,United States,(207) 761-9907,,,"Monday-Saturday 9-9, sunday 11-6",,,
"Davenport, IA",,5270 ELMORE AVE,,DAVENPORT,IA,52807,United States,563-355-7476,,,"Monday-Saturday 9-9, sunday 11-6",,,
"Council Bluffs, IA",,3815 METRO DRIVE,,COUNCIL BLUFFS,IA,51501,United States,(712) 366-7803,,,"Monday-Saturday 9-9, sunday 11-6",,,
"Westminster, MD",,631a W. BALTIMORE BLVD,,WESTMINSTER,MD,21157,United States,(410) 848-7621,,,"Monday-Saturday 10-9, sunday 11-6",,,
"Woodbury, MN",,8960 Hudson Road,,Woodbury,MN,55125,United States,(651) 578-6875,,,"Monday-Saturday 9-9, sunday 11-6",,,
"St. Paul, MN",,472 HAMLINE AVE NORTH,,SAINT PAUL,MN,55104,United States,(651) 644-2429,,,"Monday-Saturday 9-9, sunday 11-6",,,
"St. Cloud, MN",,4041 DIVISION STREET,,SAINT CLOUD,MN,56301,United States,(320) 253-3417,,,"Monday-Saturday 9-8, sunday 11-6",,,
"Woburn, MA",,103 A COMMERCE WAY,,WOBURN,MA,01801,United States,(781) 933-5653,,,"Monday-Saturday 9-9, sunday 11-6",,,
"Nampa, ID",,16375 N. MERCHANT WAY,,NAMPA,ID,83686,United States,(208) 442-7892,,,,,,
"Lahaina, HI",,305 Keawe Street,,Lahaina,HI,96761,United States,(808) 667-5834,,,"Monday-Saturday 10-8, sunday 10-5",,,
"Kapolei, HI",,4480 KAPOLEI PKWAY,,KAPOLEI,HI,96707,United States,(808) 674-9629,,,"Monday-Saturday 9-9, sunday 10-6",,,
"Kaneohe, HI",,46-047 Kamehameha Highway,,Kaneohe,HI,96744,United States,(808) 235-8705,,,"Monday-Saturday 10-9, sunday 10-6",,,
"Warner Robins, GA",,2971 WATSON BLVD,,WARNER ROBINS,GA,31093,United States,(478) 953-5940,,,"Monday-Saturday 10-9, sunday 12-6",,,
"Wauwatosa, WI",,2543 Mayfair Road,,Wauwatosa,WI,53226,United States,(414) 258-9133,,,"Monday-Friday 9-9, Saturday 9-8, sunday 10-6",,,
"Greenfield, WI",,7515 West Layton Avenue,,Greenfield,WI,53220,United States,(414) 282-8973,,,"Monday-Friday 9-9, Saturday 9-8, sunday 10-6",,,
