store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,store_type,other_fields,coming_soon
Las Vegas (Rainbow) NV,,7040 S. RAINBOW BLVD.,SUITE #100,LAS VEGAS,NV,89113,United States,(702) 534-1663,,,Monday-Saturday 9-9 sunday 11-6,,,
Summerlin,,8820 W Charleston Blvd   #102 Pad J,,Las Vegas,NV,89117,United States,(702) 586-3671,,,Monday-Saturday 9-9 sunday 11-6,,,
Las Vegas,,230 N. NELLIS BLVD,,LAS VEGAS,NV,89110,United States,(702) 453-0134,,,Monday-Saturday 9-8 sunday 11-6,,,
Flamingo  and  Grand,,4115 SOUTH GRAND CANYON DRIVE,104,LAS VEGAS,NV,89147,United States,(702) 257-0379,,,Monday-Saturday 9-8 sunday 11-6,,,
Henderson,,10251 SOUTH EASTERN AVENUE,#130,HENDERSON,NV,89052,United States,(702) 407-0357,,,Monday-Saturday 9-9 sunday 11-6,,,
Glendale,,401 North Glendale Avenue,,Glendale,CA,91206,United States,(818) 240-3679,,,Monday-Saturday 9-9 sunday 11-6,,,
Fairfax,,101 North Fairfax Avenue,,Los Angeles,CA,90036,United States,(323) 936-6839,,,Monday-Saturday 9-9 sunday 11-6,,,
South Gate,,4741 FIRESTONE BLVD,,SOUTH GATE,CA,90280,United States,(323) 567-2687,,,Monday-Saturday 9-9 sunday 11-6,,,
Pasadena,,181 South Lake Avenue,Unit 5,PASADENA,CA,91109,United States,(626) 405-0209,,,Monday-Saturday 9-9 sunday 11-6,,,
Downey,,12136 LAKEWOOD BLVD,,DOWNEY,CA,90242,United States,(562) 803-7854,,,Monday-Saturday 9-9 sunday 11-6,,,
West Los Angeles,,1901 Westwood Blvd,,West Los Angeles,CA,90025,United States,(310) 234-2718,,,Friday 10-8 Monday-Thursday 10-9,,,
Studio City,,12741 VENTURA BLVD,,STUDIO CITY,CA,91604,United States,(818) 761-1826,,,Monday-Saturday 9-9 sunday 11-6,,,
East Pasadena,,3535 E FOOTHILL BLVD,,PASADENA,CA,91107,United States,(626) 351-9560,,,Monday-Saturday 9-9 sunday 11-6,,,
Marina Del Rey,,13376 Washington Blvd,,Los Angeles,CA,90066,United States,(310) 301-3590,,,Monday-Saturday 9-9 sunday 11-6,,,
Manhattan Beach,,1800-G Rosecrans Blvd.,,MANHATTAN BEACH,CA,90266,United States,(310) 643-5634,,,Monday-Saturday 9-9 sunday 11-6,,,
Santa Monica,,2838 WILSHIRE BLVD,,SANTA MONICA,CA,90403,United States,(310) 828-8138,,,Monday-Saturday 10-8 sunday 11-6,,,
Lakewood,,4327 CANDLEWOOD STREET,,LAKEWOOD,CA,90712,United States,(562) 531-1580,,,Monday-Saturday 9-9 sunday 11-6,,,
Torrance,,19510 HAWTHORNE BLVD,,TORRANCE,CA,90503,United States,(310) 921-3574,,,Monday-Saturday 9-9 sunday 11-6,,,
Encino,,16624 VENTURA BLVD,,ENCINO,CA,91436,United States,(818) 386-0284,,,Monday-Saturday 9-9 sunday 11-6,,,
City of Industry,,17501 Colima Road,Suite A,City of Industry,CA,91748,United States,(626) 810-8381,,,Monday-Saturday 9-9 sunday 11-6,,,
South Loop,,601 WEST ROOSEVELT BLVD,,CHICAGO,IL,60607,United States,(312) 243-0094,,,Monday-Friday 9:30-7 Saturday 9:30-6,,,
Lincoln Park,,1590 North Clybourn Ave,,Chicago,IL,60614,United States,(312) 202-0117,,,Monday-Saturday 9-9 sunday 11-6,,,
Wicker Park,,1303 NORTH MILWAUKEE AVE,,Chicago,IL,60622,United States,(773) 252-4081,,,Monday-Saturday 9:30-9 sunday 11-6,,,
Elston  and  Logan,,2705 N. Elston Ave,,Chicago,IL,60647,United States,(773) 235-8370,,,Monday-Saturday 9-9 sunday 10-7,,,
Ashland  and  School,,3325 N. ASHLAND AVE,,CHICAGO,IL,60657,United States,(773) 348-7987,,,Monday-Saturday 9:30-9 sunday 11-6,,,
Irving Park,,4000 N Cicero,,Chicago,IL,60641,United States,(773) 685-1432,,,Monday-Saturday 9-8 sunday 11-6,,,
Berwyn,,7180 W CERMAK RD.,SPACE A1,BERWYN,IL,60402,United States,(708) 788-5097,,,Monday-Saturday 10-9 sunday 11-6,,,
Lincolnwood,,7140 MC CORMICK BLVD,,LINCOLNWOOD,IL,60712,United States,(847) 763-1230,,,Monday-Saturday 10-9 sunday 11-6,,,
Burbank,,7782 S. Cicero Avenue,,Burbank,IL,60459,United States,(708) 499-1316,,,Monday-Friday 10-9 Saturday 9-8,,,
Norridge,,4275 N. Harlem Avenue,,Norridge,IL,60656,United States,(708) 457-1937,,,Monday-Saturday 9-9 sunday 11-6,,,
Evergreen Park,,2501 W 95TH STREET,,EVERGREEN PARK,IL,60805,United States,(708) 229-0370,,,Monday-Saturday 9:30-8:30 sunday 11-6,,,
