store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,store_type,other_fields,coming_soon
Super Stop & Shop,0644,44 Lake Avenue Ext.,Mill Plain Center,Danbury,CT,06811,United States,(203) 797-8901,,,"Sunday 7:00A-12:00A, Monday 7:00A-12:00A, Tuesday 7:00A-12:00A, Wednesday 7:00A-12:00A, Thursday 7:00A-12:00A, Friday 7:00A-12:00A, Saturday 7:00A-12:00A",,,
Super Stop & Shop,0670,4531 Main Street,,Bridgeport,CT,06606,United States,(203) 371-6972,,,"Sunday 7:00A-11:00P, Monday 6:00A-11:00P, Tuesday 6:00A-11:00P, Wednesday 6:00A-11:00P, Thursday 6:00A-11:00P, Friday 6:00A-11:00P, Saturday 6:00A-11:00P",,,
Super Stop & Shop,0695,275 Highland Avenue,,Cheshire,CT,06410,United States,(203) 272-3628,,,"Sunday 7:00A-12:00A, Monday 6:00A-12:00A, Tuesday 6:00A-12:00A, Wednesday 6:00A-12:00A, Thursday 6:00A-12:00A, Friday 6:00A-12:00A, Saturday 6:00A-12:00A",,,
Super Stop & Shop,0628,597 Farmington Avenue,,Bristol,CT,06010,United States,(860) 582-5674,,,"Sunday 6:00A-12:00A, Monday 6:00A-12:00A, Tuesday 6:00A-12:00A, Wednesday 6:00A-12:00A, Thursday 6:00A-12:00A, Friday 6:00A-12:00A, Saturday 6:00A-12:00A",,,
Super Stop & Shop,0606,195 West Street,,Cromwell,CT,06416,United States,(860) 635-8300,,,"Sunday 6:00A-11:00P, Monday 6:00A-12:00A, Tuesday 6:00A-12:00A, Wednesday 6:00A-12:00A, Thursday 6:00A-12:00A, Friday 6:00A-12:00A, Saturday 6:00A-12:00A",,,
Super Stop & Shop,0608,99 Linwood Avenue,,Colchester,CT,06415,United States,(860) 537-2361,,,"Sunday 7:00A-10:00P, Monday 6:00A-12:00A, Tuesday 6:00A-12:00A, Wednesday 6:00A-12:00A, Thursday 6:00A-12:00A, Friday 6:00A-12:00A, Saturday 6:00A-12:00A",,,
Super Stop & Shop,0652,215 East Main Street,,Clinton,CT,06413,United States,(860) 669-2228,,,"Sunday 7:00A-9:00P, Monday 6:00A-12:00A, Tuesday 6:00A-12:00A, Wednesday 6:00A-12:00A, Thursday 6:00A-12:00A, Friday 6:00A-12:00A, Saturday 6:00A-12:00A",,,
Super Stop & Shop,0698,2145 Fairfield Avenue,,Bridgeport,CT,06606,United States,(203) 333-0333,,,"Sunday 7:00A-10:00P, Monday 7:00A-10:00P, Tuesday 7:00A-10:00P, Wednesday 7:00A-10:00P, Thursday 7:00A-10:00P, Friday 7:00A-10:00P, Saturday 7:00A-10:00P",,,
Super Stop & Shop,0687,22 Leetes Island Rd.,,Branford,CT,06405,United States,(203) 488-1325,,,"Sunday 7:00A-10:00P, Monday 6:00A-11:00P, Tuesday 6:00A-11:00P, Wednesday 6:00A-11:00P, Thursday 6:00A-11:00P, Friday 6:00A-11:00P, Saturday 6:00A-11:00P",,,
Super Stop & Shop,0651,313 Cottage Grove Rd.,,Bloomfield,CT,06002,United States,(860) 242-5954,,,"Sunday 7:00A-12:00A, Monday 6:00A-12:00A, Tuesday 6:00A-12:00A, Wednesday 6:00A-12:00A, Thursday 6:00A-12:00A, Friday 6:00A-12:00A, Saturday 6:00A-12:00A",,,
Super Stop & Shop,0614,1135 Farmington Avenue,,Berlin,CT,06037,United States,(860) 828-0276,,,"Sunday 7:00A-10:00P, Monday 6:00A-11:00P, Tuesday 6:00A-11:00P, Wednesday 6:00A-11:00P, Thursday 6:00A-11:00P, Friday 6:00A-11:00P, Saturday 6:00A-11:00P",,,
Super Stop & Shop,0663,1360 East Town Road,,Milford,CT,06460,United States,(203) 877-1841,,,"Sunday 7:00A-10:00P, Monday 6:00A-11:00P, Tuesday 6:00A-11:00P, Wednesday 6:00A-11:00P, Thursday 6:00A-11:00P, Friday 6:00A-11:00P, Saturday 6:00A-11:00P",,,
Stop & Shop,0685,470 Monroe Turnpike,,Monroe,CT,06468,United States,(203) 268-0589,,,"Sunday 7:00A-9:00P, Monday 7:00A-10:00P, Tuesday 7:00A-10:00P, Wednesday 7:00A-10:00P, Thursday 7:00A-10:00P, Friday 7:00A-10:00P, Saturday 7:00A-10:00P",,,
Super Stop & Shop,0647,855 Bridgeport Avenue,,Milford,CT,06460,United States,(203) 876-0467,,,"Sunday 7:00A-10:00P, Monday 6:00A-10:00P, Tuesday 6:00A-10:00P, Wednesday 6:00A-10:00P, Thursday 6:00A-10:00P, Friday 6:00A-10:00P, Saturday 6:00A-10:00P",,,
Super Stop & Shop,0635,100 Division Street,,Ansonia,CT,06401,United States,(203) 732-3901,,,"Sunday 7:00A-10:00P, Monday 6:00A-11:00P, Tuesday 6:00A-11:00P, Wednesday 6:00A-11:00P, Thursday 6:00A-11:00P, Friday 6:00A-11:00P, Saturday 6:00A-11:00P",,,
Stop & Shop,0736,149 Franklin Street,,Westerly,RI,02891,United States,(401) 596-0169,,,"Sunday 7:00A-12:00A, Monday 6:00A-12:00A, Tuesday 6:00A-12:00A, Wednesday 6:00A-12:00A, Thursday 6:00A-12:00A, Friday 6:00A-12:00A, Saturday 6:00A-12:00A",,,
Super Stop & Shop,0726,2470 Warwick Avenue,,Warwick,RI,02889,United States,(401) 732-4616,,,"Sunday 7:00A-9:00P, Monday 6:00A-12:00A, Tuesday 6:00A-12:00A, Wednesday 6:00A-12:00A, Thursday 6:00A-12:00A, Friday 6:00A-12:00A, Saturday 6:00A-12:00A",,,
Super Stop & Shop,0739,575 Greenwich Avenue,,Warwick,RI,02888,United States,(401) 739-1696,,,"Sunday 7:00A-9:00P, Monday 7:00A-12:00A, Tuesday 7:00A-12:00A, Wednesday 7:00A-12:00A, Thursday 7:00A-12:00A, Friday 7:00A-12:00A, Saturday 7:00A-12:00A",,,
Super Stop & Shop,0709,300 Quaker Lane,,Warwick,RI,02888,United States,(401) 828-9360,,,"Sunday 7:00A-9:00P, Monday 6:00A-12:00A, Tuesday 6:00A-12:00A, Wednesday 6:00A-12:00A, Thursday 6:00A-12:00A, Friday 6:00A-12:00A, Saturday 6:00A-12:00A",,,
Super Stop & Shop,0725,333 West River Street,,Providence,RI,02909,United States,(401) 861-9300,,,"Sunday 7:00A-10:00P, Monday 7:00A-12:00A, Tuesday 7:00A-12:00A, Wednesday 7:00A-12:00A, Thursday 7:00A-12:00A, Friday 7:00A-12:00A, Saturday 7:00A-12:00A",,,
Super Stop & Shop,0729,3 Stilson Road,Route 138,Richmond,RI,02898,United States,(401) 539-8800,,,"Sunday 7:00A-9:00P, Monday 6:00A-12:00A, Tuesday 6:00A-12:00A, Wednesday 6:00A-12:00A, Thursday 6:00A-12:00A, Friday 6:00A-12:00A, Saturday 6:00A-12:00A",,,
Super Stop & Shop,0722,850 Manton Avenue,,Providence,RI,02909,United States,(401) 453-3899,,,"Sunday 7:00A-9:00P, Monday 6:00A-12:00A, Tuesday 6:00A-12:00A, Wednesday 6:00A-12:00A, Thursday 6:00A-12:00A, Friday 6:00A-12:00A, Saturday 6:00A-12:00A",,,
Super Stop & Shop,0710,368-398 Cottage Street,,Pawtucket,RI,02860,United States,(401) 721-9821,,,"Sunday 7:00A-9:00P, Monday 6:00A-11:00P, Tuesday 6:00A-11:00P, Wednesday 6:00A-11:00P, Thursday 6:00A-11:00P, Friday 6:00A-11:00P, Saturday 6:00A-11:00P",,,
Super Stop & Shop,0721,595 Smithfield Road,,North Smithfield,RI,02896,United States,(401) 769-0112,,,"Sunday 7:00A-9:00P, Monday 6:00A-12:00A, Tuesday 6:00A-12:00A, Wednesday 6:00A-12:00A, Thursday 6:00A-12:00A, Friday 6:00A-12:00A, Saturday 6:00A-12:00A",,,
Super Stop & Shop,0724,1128 Mineral Spring Avenue,Spring Plaza,North Providence,RI,02908,United States,(401) 727-3400,,,"Sunday 7:00A-9:00P, Monday 6:00A-11:00P, Tuesday 6:00A-11:00P, Wednesday 6:00A-11:00P, Thursday 6:00A-11:00P, Friday 6:00A-11:00P, Saturday 6:00A-11:00P",,,
Super Stop & Shop,0737,1300 Ten Rod Road,,North Kingstown,RI,02852,United States,(401) 268-3808,,,"Sunday 7:00A-9:00P, Monday 6:00A-12:00A, Tuesday 6:00A-12:00A, Wednesday 6:00A-12:00A, Thursday 6:00A-12:00A, Friday 6:00A-12:00A, Saturday 6:00A-12:00A",,,
Super Stop & Shop,0716,90 Frenchtown Road,Hunt River Commons,North Kingstown,RI,02852,United States,(401) 884-9400,,,"Sunday 7:00A-9:00P, Monday 6:00A-12:00A, Tuesday 6:00A-12:00A, Wednesday 6:00A-12:00A, Thursday 6:00A-12:00A, Friday 6:00A-12:00A, Saturday 6:00A-12:00A",,,
Stop & Shop,0701,250 Bellevue Avenue,,Newport,RI,02840,United States,(401) 848-7200,,,"Sunday 6:00A-10:00P, Monday 6:00A-10:00P, Tuesday 6:00A-10:00P, Wednesday 6:00A-10:00P, Thursday 6:00A-10:00P, Friday 6:00A-10:00P, Saturday 6:00A-10:00P",,,
Super Stop & Shop,0731,199 Connell Highway,,Newport,RI,02840,United States,(401) 845-2220,,,"Sunday 6:00A-10:00P, Monday 6:00A-12:00A, Tuesday 6:00A-12:00A, Wednesday 6:00A-12:00A, Thursday 6:00A-12:00A, Friday 6:00A-12:00A, Saturday 6:00A-12:00A",,,
Super Stop & Shop,0718,66 Point Judith Rd,,Narragansett,RI,02882,United States,(401) 783-9614,,,"Sunday 7:00A-12:00A, Monday 6:00A-12:00A, Tuesday 6:00A-12:00A, Wednesday 6:00A-12:00A, Thursday 6:00A-12:00A, Friday 6:00A-12:00A, Saturday 6:00A-12:00A",,,
Super Stop & Shop,0708,1360 West Main Road,,Middletown,RI,02842,United States,(401) 849-5510,,,"Sunday 7:00A-9:00P, Monday 6:00A-12:00A, Tuesday 6:00A-12:00A, Wednesday 6:00A-12:00A, Thursday 6:00A-12:00A, Friday 6:00A-12:00A, Saturday 6:00A-12:00A",,,
Super Stop & Shop,0712,622 George Washington Highway,,Lincoln,RI,02865,United States,(401) 334-6006,,,"Sunday 7:00A-9:00P, Monday 6:00A-12:00A, Tuesday 6:00A-12:00A, Wednesday 6:00A-12:00A, Thursday 6:00A-12:00A, Friday 6:00A-12:00A, Saturday 6:00A-12:00A",,,
Super Stop & Shop,0705,446 Putnam Pike,,Greenville,RI,02828,United States,(401) 949-4800,,,"Sunday 7:00A-9:00P, Monday 6:00A-12:00A, Tuesday 6:00A-12:00A, Wednesday 6:00A-12:00A, Thursday 6:00A-12:00A, Friday 6:00A-12:00A, Saturday 6:00A-12:00A",,,
