store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,store_type,other_fields,coming_soon
Poplar/Highland,2075,3455 Poplar Avenue,,Memphis,TN,38111-4654,USA,(901) 323-5300,35.127687,-89.946692,"Monday 12:00 AM - 12:00 AM, Tuesday 12:00 AM - 12:00 AM, Wednesday 12:00 AM - 12:00 AM, Thursday 12:00 AM - 12:00 AM, Friday 12:00 AM - 12:00 AM, Saturday 12:00 AM - 12:00 AM, Sunday 12:00 AM - 12:00 AM",,,
Memphis &#8211 Park Ave.,2274,5112 Park Avenue,,Memphis,TN,38117,USA,(901) 682-2777,35.106871,-89.891519,"Monday 6:00 AM - 11:00 PM, Tuesday 6:00 AM - 11:00 PM, Wednesday 6:00 AM - 11:00 PM, Thursday 6:00 AM - 11:00 PM, Friday 6:00 AM - 11:00 PM, Saturday 6:00 AM - 11:00 PM, Sunday 6:00 AM - 11:00 PM",,,
Germantown,2136,1340 So Germantown Pkwy,,Germantown,TN,38138-2226,USA,(901) 759-5938,35.112379,-89.801593,"Monday 6:00 AM - 11:00 PM, Tuesday 6:00 AM - 11:00 PM, Wednesday 6:00 AM - 11:00 PM, Thursday 6:00 AM - 11:00 PM, Friday 6:00 AM - 11:00 PM, Saturday 6:00 AM - 11:00 PM, Sunday 6:00 AM - 11:00 PM",,,
Collierville,2351,960 W. Poplar Avenue,,Collierville,TN,38017-2546,USA,(901) 850-0499,35.046712,-89.69398,"Monday 6:00 AM - 11:00 PM, Tuesday 6:00 AM - 11:00 PM, Wednesday 6:00 AM - 11:00 PM, Thursday 6:00 AM - 11:00 PM, Friday 6:00 AM - 1:00 AM, Saturday 6:00 AM - 1:00 AM, Sunday 6:00 AM - 11:00 PM",,,
Blytheville,2134,1121 E Main St,,Blytheville,AR,72315,USA,(870) 763-6797,35.928262,-89.880352,"Monday 5:30 AM - 11:00 PM, Tuesday 5:30 AM - 11:00 PM, Wednesday 5:30 AM - 11:00 PM, Thursday 5:30 AM - 11:00 PM, Friday 5:30 AM - 11:00 PM, Saturday 5:30 AM - 11:00 PM, Sunday 5:30 AM - 11:00 PM",,,
Jackson,2307,999 Vann Dr.,,Jackson,TN,38305-2093,USA,(731) 661-9224,35.669984,-88.857484,"Monday 6:00 AM - 11:00 PM, Tuesday 6:00 AM - 11:00 PM, Wednesday 6:00 AM - 11:00 PM, Thursday 6:00 AM - 11:00 PM, Friday 6:00 AM - 1:00 AM, Saturday 6:00 AM - 1:00 AM, Sunday 6:00 AM - 11:00 PM",,,
Milan,2233,15301 South 1st Street,,Milan,TN,38358,USA,(731) 686-0222,35.878836,-88.746087,"Monday 6:00 AM - 10:00 PM, Tuesday 6:00 AM - 10:00 PM, Wednesday 6:00 AM - 10:00 PM, Thursday 6:00 AM - 10:00 PM, Friday 6:00 AM - 11:00 PM, Saturday 6:00 AM - 11:00 PM, Sunday 6:00 AM - 10:00 PM",,,
"Springfield, MO",2376,729 W. Sunshine St,,Springfield,MO,65807-2439,USA,(417) 864-8400,37.18266,-93.301474,"Monday 6:00 AM - 11:00 PM, Tuesday 6:00 AM - 11:00 PM, Wednesday 6:00 AM - 11:00 PM, Thursday 6:00 AM - 11:00 PM, Friday 6:00 AM - 12:00 AM, Saturday 6:00 AM - 12:00 AM, Sunday 6:00 AM - 11:00 PM",,,
Jefferson City,2377,1722 Jefferson Street,,Jefferson City,MO,65109-2011,USA,(573) 636-2430,38.555916,-92.195775,"Monday 6:00 AM - 10:00 PM, Tuesday 6:00 AM - 10:00 PM, Wednesday 6:00 AM - 10:00 PM, Thursday 6:00 AM - 10:00 PM, Friday 6:00 AM - 12:00 AM, Saturday 6:00 AM - 12:00 AM, Sunday 6:00 AM - 10:00 PM",,,
Sedalia,2378,1100 South Limit Ave,,Sedalia,MO,65301-3655,USA,(660) 826-1491,38.702152,-93.251077,"Monday 5:30 AM - 11:00 PM, Tuesday 5:30 AM - 11:00 PM, Wednesday 5:30 AM - 11:00 PM, Thursday 5:30 AM - 11:00 PM, Friday 5:30 AM - 11:00 PM, Saturday 5:30 AM - 11:00 PM, Sunday 5:30 AM - 11:00 PM",,,
Decatur &#8211 Monroe St.,2410,2999 N Monroe St.,,Decatur,IL,62526-3265,USA,(217) 875-0743,39.87638,-88.964434,"Monday 6:00 AM - 12:00 AM, Tuesday 6:00 AM - 12:00 AM, Wednesday 6:00 AM - 12:00 AM, Thursday 6:00 AM - 12:00 AM, Friday 12:00 AM - 12:00 AM, Saturday 12:00 AM - 12:00 AM, Sunday 6:00 AM - 12:00 AM",,,
Lees Summit,2392,1001 S E Hamblen Road,,Lees Summit,MO,64081-2937,USA,(816) 525-0663,38.901989,-94.362661,"Monday 5:30 AM - 12:00 AM, Tuesday 5:30 AM - 12:00 AM, Wednesday 5:30 AM - 12:00 AM, Thursday 5:30 AM - 12:00 AM, Friday 12:00 AM - 2:00 AM, Saturday 12:00 AM - 2:00 AM, Sunday 5:30 AM - 12:00 AM",,,
Urbana,2371,1214 West University Ave,,Urbana,IL,61801-2338,USA,(217) 328-3000,40.116638,-88.225434,"Monday 12:00 AM - 12:00 AM, Tuesday 12:00 AM - 12:00 AM, Wednesday 12:00 AM - 12:00 AM, Thursday 12:00 AM - 12:00 AM, Friday 12:00 AM - 12:00 AM, Saturday 12:00 AM - 12:00 AM, Sunday 12:00 AM - 12:00 AM",,,
Independence,2223,3939 S. Bolger Rd.,,Independence,MO,64055,USA,(816) 478-0444,39.046639,-94.364105,"Monday 6:00 AM - 11:00 PM, Tuesday 6:00 AM - 11:00 PM, Wednesday 6:00 AM - 11:00 PM, Thursday 6:00 AM - 11:00 PM, Friday 12:00 AM - 12:00 AM, Saturday 12:00 AM - 12:00 AM, Sunday 6:00 AM - 11:00 PM",,,
Olathe &#8211 E. Santa Fe,2413,1828 E Santa Fe St.,,Olathe,KS,66062-1613,USA,(913) 764-7288,38.884116,-94.787242,"Monday 6:00 AM - 12:00 AM, Tuesday 6:00 AM - 12:00 AM, Wednesday 6:00 AM - 12:00 AM, Thursday 6:00 AM - 12:00 AM, Friday 12:00 AM - 12:00 AM, Saturday 12:00 AM - 12:00 AM, Sunday 6:00 AM - 12:00 AM",,,
Gardner,2217,2000 E. Santa Fe,,Gardner,KS,66030,USA,(913) 884-4700,38.811149,-94.888053,"Monday 5:30 AM - 12:00 AM, Tuesday 5:30 AM - 12:00 AM, Wednesday 5:30 AM - 12:00 AM, Thursday 12:00 AM - 12:00 AM, Friday 12:00 AM - 12:00 AM, Saturday 12:00 AM - 12:00 AM, Sunday 5:30 AM - 12:00 AM",,,
"Lenexa, KS",2407,11200 West 87th Street,,Lenexa,KS,66215,USA,(913) 495-2568,38.971105,-94.74932,"Monday 6:00 AM - 12:00 AM, Tuesday 6:00 AM - 12:00 AM, Wednesday 6:00 AM - 12:00 AM, Thursday 6:00 AM - 12:00 AM, Friday 12:00 AM - 12:00 AM, Saturday 12:00 AM - 12:00 AM, Sunday 6:00 AM - 12:00 AM",,,
