store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,store_type,other_fields,coming_soon
,,"108 North State Street, Space 002",,Chicago,Illinois,,United States,(312) 658-0030,,,Mon - Fri 07:00 AM - 10:00 PM,,,
,,17W410 22nd St.,,Oakbrook Terrace,Illinois,,United States,(630) 590-5870,,,Mon - Sat 10:00 AM - 09:00 PM,,,
,,14934 S. LaGrange Rd.,,Orland Park,Illinois,,United States,(708) 966-2462,,,Mon - Sat 10:00 AM - 09:00 PM,,,
,,1508 US Hwy 41,,Schererville,Illinois,,United States,(219) 440-7169,,,Mon - Sat 10:00 AM - 09:00 PM,,,
,,391 S Barrington Rd,,Schaumburg,Illinois,,United States,(630) 855-9048,,,Mon - Sat 10:00 AM - 09:00 PM,,,
,,10810 N. Tatum Blvd,,Phoenix,Arizona,,United States,(602) 404-9424,,,Mon - Sat 09:00 AM - 08:00 PM,,,
,,"15033 N. Thompson Peak Parkway, Suite D105",,Scottsdale,Arizona,,United States,(480) 451-9424,,,Mon - Sat 09:00 AM - 08:00 PM,,,
,,20851 N. Scottsdale Road,,Scottsdale,Arizona,,United States,(480) 513-9424,,,Mon - Sat 09:00 AM - 09:00 PM,,,
,,222 S. Mill Avenue,,Tempe,Arizona,,United States,(480) 968-9424,,,Mon - Fri 09:00 AM - 07:00 PM,,,
,,7635 West Bell Rd,,Peoria,Arizona,,United States,(623) 979-9424,,,Mon - Sat 09:00 AM - 09:00 PM,,,
,,"9404 W. Westgate Blvd., Ste. 102",,Glendale,Arizona,,United States,(623) 977-9424,,,Mon - Thu 09:00 AM - 09:00 PM,,,
,,3401 W. Frye Road,,Chandler,Arizona,,United States,(480) 917-9424,,,Mon - Sat 09:00 AM - 09:00 PM,,,
,,2795 S. Market St. #110,,Gilbert,Arizona,,United States,(480) 917-9434,,,Mon - Sat 09:00 AM - 09:00 PM,,,
,,700 Plaza Drive,,Secaucus,New York,,United States,00000000,,,,,,
,,Montclair State University,,Montclair,New York,,United States,(973) 655-3216,,,,,,
,,285 George Street,,New Brunswick,New York,,United States,(732) 214-9424,,,Mon - Sat 10:00 AM - 10:00 PM,,,
,,"849 E. Commerce St., Space #675",,San Antonio,Texas,,United States,(210) 271-9424,,,Mon - Sat 10:00 AM - 10:00 PM,,,
,,13429 San Pedro Avenue,,San Antonio,Texas,,United States,(210) 495-9424,,,Mon - Sun 11:00 AM - 09:00 PM,,,
,,1203 N. Loop 1604 West # 109,,San Antonio,Texas,,United States,(210) 493-9424,,,Mon - Sun 11:00 AM - 09:00 PM,,,
,,"10730 Potranco Rd., Ste. 126",,San Antonio,Texas,,United States,(210) 682-9424,,,Mon - Sat 11:00 AM - 09:00 PM,,,
,,18427 Rim Drive,,San Antonio,Texas,,United States,(210) 699-9424,,,Mon - Sun 11:00 AM - 09:00 PM,,,
,,3815 Richmond Ave.,,Houston,Texas,,United States,(713) 871-9424,,,Mon - Sat 10:30 AM - 09:00 PM,,,
,,"8505 S. Main St., Ste. 150",,Houston,Texas,,United States,(713) 665-9424,,,Mon - Sat 10:30 AM - 09:00 PM,,,
,,"510 Gray St., Ste. B2",,Houston,Texas,,United States,(713) 654-9424,,,Mon - Fri 10:00 AM - 10:00 PM,,,
,,"8401 Westheimer Rd., Ste. 110",,Houston,Texas,,United States,(713) 782-0400,,,Mon - Fri 10:00 AM - 09:00 PM,,,
,,"1001 Louisiana, #B040",,Houston,Texas,,United States,(713) 658-9161,,,Mon - Fri 07:00 AM - 02:30 PM,,,
,,"711 Louisiana St., R213",,Houston,Texas,,United States,(713) 222-2999,,,Mon - Fri 07:00 AM - 02:30 PM,,,
,,"1599 Lake Robbins Ave., Ste. B-150",,Houston,Texas,,United States,(281) 364-9424,,,Mon - Sun 10:00 AM - 09:00 PM,,,
,,"9758 Katy Fwy., Ste. 200",,Houston,Texas,,United States,(713) 468-9424,,,Mon - Sun 10:00 AM - 09:00 PM,,,
,,"11805 Westheimer, Ste. 360",,Houston,Texas,,United States,(281) 584-9424,,,Mon - Fri 10:00 AM - 09:00 PM,,,
