store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,store_type,other_fields,coming_soon
Richland Avenue,,392 Richland Avenue,,Athens,OH,45701,United States,(740) 594-4766,39.31440086172983,-82.10409792512792,"MON 6:30 AM - 11:00 PM, TUE 6:30 AM - 11:00 PM, WED 6:30 AM - 11:00 PM, THU 6:30 AM - 11:00 PM, FRI 6:30 AM - 1:00 AM, SAT 7:00 AM - 1:00 AM, SUN 8:00 AM - 10:00 PM",,,
Sunrise Highway,,100 Sunrise Highway,,Lindenhurst,NY,11757,United States,(631) 450-4449,40.69549725259181,-73.3881676197052,"MON 9:00 AM - 11:00 PM, TUE 9:00 AM - 11:00 PM, WED 9:00 AM - 11:00 PM, THU 9:00 AM - 11:00 PM, FRI 9:00 AM - 11:00 PM, SAT 9:00 AM - 11:00 PM, SUN 9:00 AM - 11:00 PM",,,
S Wells Avenue,,770 S Wells Avenue,,Reno,NV,89502,United States,(775) 786-8422,39.518638176676525,-119.80286883564986,"MON 7:00 AM - 10:00 PM, TUE 7:00 AM - 10:00 PM, WED 7:00 AM - 10:00 PM, THU 7:00 AM - 10:00 PM, FRI 7:00 AM - 11:00 PM, SAT 8:00 AM - 11:00 PM, SUN 8:00 AM - 10:00 PM",,,
Red Arrow Highway,,4107 Red Arrow Highway,,Stevensville,MI,49127,United States,(269) 281-7916,42.04303320186755,-86.5133826658348,"MON 7:00 AM - 10:00 PM, TUE 7:00 AM - 10:00 PM, WED 7:00 AM - 10:00 PM, THU 7:00 AM - 10:00 PM, FRI 7:00 AM - 10:00 PM, SAT 8:00 AM - 10:00 PM, SUN 8:00 AM - 10:00 PM",,,
Pulliam Avenue,,1001 Pulliam Avenue,,Worland,WY,82401,United States,(307) 347-6429,44.019140708259066,-107.95537501573563,"MON 7:00 AM - 10:00 PM, TUE 7:00 AM - 10:00 PM, WED 7:00 AM - 10:00 PM, THU 7:00 AM - 10:00 PM, FRI 7:00 AM - 10:00 PM, SAT 8:00 AM - 10:00 PM, SUN 8:00 AM - 10:00 PM",,,
South Street,,1457 South Street,,Wheatland,WY,82201,United States,(307) 322-4058,42.0513600155497,-104.96141150593758,"MON 6:00 AM - 10:00 PM, TUE 6:00 AM - 10:00 PM, WED 6:00 AM - 10:00 PM, THU 6:00 AM - 10:00 PM, FRI 6:00 AM - 10:00 PM, SAT 6:00 AM - 10:00 PM, SUN 8:00 AM - 10:00 PM",,,
W 20th Street,,224 W 20th Street,,Torrington,WY,82240,United States,(307) 532-3711,42.06419903934182,-104.1869142245369,"MON 7:00 AM - 10:00 PM, TUE 7:00 AM - 10:00 PM, WED 7:00 AM - 10:00 PM, THU 7:00 AM - 10:00 PM, FRI 7:00 AM - 10:00 PM, SAT 7:00 AM - 10:00 PM, SUN 7:00 AM - 10:00 PM",,,
Park Street,,407 Park Street,,Thermopolis,WY,82443,United States,(307) 864-2262,43.650328407496154,-108.20920678230323,"MON 7:30 AM - 10:00 PM, TUE 7:30 AM - 10:00 PM, WED 7:30 AM - 10:00 PM, THU 7:30 AM - 10:00 PM, FRI 7:30 AM - 10:00 PM, SAT 8:00 AM - 10:00 PM, SUN 8:00 AM - 10:00 PM",,,
Sugarland Drive,,2175 Sugarland Drive,,Sheridan,WY,82801,United States,(307) 674-7504,44.77425926205827,-106.93924158811569,"MON 7:00 AM - 11:00 PM, TUE 7:00 AM - 11:00 PM, WED 7:00 AM - 11:00 PM, THU 7:00 AM - 11:00 PM, FRI 7:00 AM - 12:00 PM, SAT 7:00 AM - 12:00 PM, SUN 7:00 AM - 11:00 PM",,,
W Main Street,,623 W Main Street,,Riverton,WY,82501,United States,(307) 856-9649,43.024322675656386,-108.39858993887901,"MON 6:30 AM - 10:00 PM, TUE 6:30 AM - 10:00 PM, WED 6:30 AM - 10:00 PM, THU 6:30 AM - 10:00 PM, FRI 6:30 AM - 10:00 PM, SAT 6:30 AM - 10:00 PM, SUN 8:00 AM - 10:00 PM",,,
