store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,store_type,other_fields,coming_soon
Duncan,2,5845 Trans Canada Hwy.,,Duncan,BC,V9L 3R9,Canada,(250) 748-2442,48.781962373,-123.69621485,"Sun - Thu: 11:00 AM - 12:00 AM, Fri - Sat: 11:00 AM - 1:00 AM",,,
Hillside,5,#10-797 Hillside Avenue,,Victoria,BC,V8T 1Z5,Canada,(250) 380-1212,48.4388000088,-123.36404909,"Sun - Thu: 11:00 AM - 12:00 AM, Fri - Sat: 11:00 AM - 2:00 AM",,,
Campbell River,7,1309 North Island Hwy.,,Campbell River,BC,V9W 2C9,Canada,(250) 286-6120,50.0303945948,-125.245219792,"Sun - Thu: 11:00 AM - 12:00 AM, Fri - Sat: 11:00 AM - 1:00 AM",,,
Courtenay,8,"2633 Cliffe Avenue
Driftwood Mall",,Courtenay,BC,V9N 2L8,Canada,(250) 334-2222,49.6753989278,-124.982339471,"Sun - Thu: 11:00 AM - 11:00 PM, Fri - Sat: 11:00 AM - 12:00 AM",,,
Nanaimo,9,2-5779 Turner Road,,Nanaimo,BC,V9T 6L8,Canada,(250) 751-0090,49.2255182728,-124.035484007,Sun - Sat: 11:00 AM - 12:00 AM,,,
Langford,10,2755 Veterans Memorial Parkway,,Victoria,BC,V9B 3S5,Canada,(250) 474-7734,48.4490589529,-123.495120421,"Sun - Thu: 11:00 AM - 12:00 AM, Fri - Sat: 11:00 AM - 1:00 AM",,,
Saanich,11,#102 - 3510 Blanshard Street,,Victoria,BC,V8X 1W3,Canada,(250) 477-5561,48.4544650476,-123.3716306,"Sun - Thu: 11:00 AM - 12:00 AM, Fri - Sat: 11:00 AM - 1:00 AM",,,
Parksville,12,430 East Island Highway,,Parksville,BC,V9P 2H7,Canada,(250) 947-9400,49.3199592985,-124.305522366,"Sun - Thu: 11:00 AM - 11:00 PM, Fri - Sat: 11:00 AM - 12:00 AM",,,
Port Alberni,14,Unit # 100 - 3550 Johnston Road,,Port Alberni,BC,V9Y 7X1,Canada,(250) 723-2622,49.2661237475,-124.786108136,"Sun - Thu: 11:00 AM - 12:00 AM, Fri - Sat: 11:00 AM - 2:00 AM",,,
Aldergrove,15,900-26310 Fraser Hwy.,,Aldergrove,BC,V4W 2Z7,Canada,(604) 607-0713,49.0599749779,-122.495604198,"Sun - Thu: 11:00 AM - 12:00 AM, Fri - Sat: 11:00 AM - 1:00 AM",,,
Squamish,16,40167 Glenalder Place,,Squamish,BC,V8B 0G2,Canada,(604) 898-5442,49.7365393662,-123.133134055,"Sun - Thu: 11:00 AM - 11:00 PM, Fri - Sat: 11:00 AM - 12:00 AM",,,
Pitt Meadows,17,Unit 510 - 19800 Lougheed Hwy,,Pitt Meadows,BC,V3Y 2W1,Canada,(604) 465-7100,49.2237663293,-122.670730248,"Sundays: 11:00 AM - 12:00 AM, Mon - Thu: 11:00 AM - 1:00 AM, Fri - Sat: 11:00 AM - 2:00 AM",,,
Nordel Crossing,18,12060 Nordel Way,,Surrey,BC,V3W 1P6,Canada,(604) 596-6455,49.161942872,-122.887739018,"Sundays: 11:00 AM - 12:00 AM, Mon - Sat: 11:00 AM - 1:00 AM",,,
Walnut Grove,19,20090 - 91A Avenue,,Langley,BC,V1M 3Y9,Canada,(604) 513-1330,49.1689369858,-122.665156814,Sun - Sat: 11:00 AM - 2:00 AM,,,
Cloverdale,20,600-6486 176th St,,Surrey,BC,V3S 4G3,Canada,(604) 576-2677,49.1209310012,-122.734838404,"Sun - Thu: 11:00 AM - 1:00 AM, Fri - Sat: 11:00 AM - 2:00 AM",,,
Grandview Hwy,21,2850 Bentall Street,,Vancouver,BC,V5M 4H4,Canada,(604) 439-1132,49.2587505582,-123.032060916,"Sun - Thu: 11:00 AM - 1:00 AM, Fri - Sat: 11:00 AM - 2:00 AM",,,
Queensborough,22,Unit P100-805 Boyd Street,,New Westminster,BC,V3M 5X2,Canada,(604) 759-3133,49.1914697798,-122.945495098,Sun - Sat: 11:00 AM - 12:00 AM,,,
Big Bend,23,5801 Marine Way,,Burnaby,BC,V5J 0A6,Canada,(604) 434-7555,49.1978491765,-122.976299251,"Sun - Thu: 11:00 AM - 11:00 PM, Fri - Sat: 11:00 AM - 12:00 AM",,,
Esplanade,25,88 Chesterfield Ave,,North Vancouver,BC,V3S 2W4,Canada,(778) 340-1514,49.3130983735,-123.081907636,"Sun - Thu: 11:00 AM - 12:00 AM, Fri - Sat: 11:00 AM - 1:00 AM",,,
Fort St John,26,9508 Alaska Road North,,Fort St John,BC,V1J 6L5,Canada,(250) 787-0455,56.237703,-120.848807,"Sundays: 11:00 AM - 12:00 AM, Mon - Sat: 11:00 AM - 1:00 AM",,,
Dawson Creek,27,1525 Alaska Ave,,Dawson Creek,BC,V1G 1Z8,Canada,(250) 782-8585,55.763795403,-120.2448383,"Sun - Thu: 11:00 AM - 11:00 PM, Fri - Sat: 11:00 AM - 12:00 AM",,,
Spruceland,29,102-841 West Central Street,,Prince George,BC,V2M 3C8,Canada,(250) 564-1221,53.9175201383,-122.782171615,"Sun - Thu: 11:00 AM - 1:00 AM, Fri - Sat: 11:00 AM - 2:00 AM",,,
Pr George Brookwood,31,2500 Vance Road,,Prince George,BC,V2N 6Z3,Canada,(250) 562-1414,53.8809922866,-122.770136821,Sun - Sat: 11:00 AM - 12:00 PM,,,
Golden,32,1002 TransCanada Highway,,Golden,BC,V0A 1H1,Canada,(250) 439-0002,51.18,-116.56,"Sun - Thu: 11:00 AM - 12:00 AM, Fri - Sat: 11:00 AM - 1:00 AM",,,
Tsawwassen,33,Restaurant 3 - 5000 Canoe Pass Way,,Tsawwassen,BC,V4M 0B3,Canada,(604) 382-5055,49.0344355,-123.0896375,"Sun - Thu: 11:00 AM - 12:00 AM, Fri - Sat: 11:00 AM - 1:00 AM",,,
Williams Lake,38,285 Donald Road,,Williams Lake,BC,V2G 4K4,Canada,(250) 398-7600,52.1363399914,-122.135188776,"Sun - Thu: 11:00 AM - 11:00 PM, Fri - Sat: 11:00 AM - 1:00 AM",,,
Smithers,45,"1492 Main Street
P.O. Box 2800",,Smithers,BC,V0J 2N0,Canada,(250) 847-3099,54.7818942381,-127.16528159,"Sun - Thu: 11:00 AM - 12:00 AM, Fri - Sat: 11:00 AM - 1:00 AM",,,
Terrace,46,4924 Highway 16 West,,Terrace,BC,V8G 4C3,Canada,(250) 635-3443,54.5208000118,-128.59471724,"Sun - Thu: 11:00 AM - 12:00 AM, Fri - Sat: 11:00 AM - 1:00 AM",,,
Maillardville,50,1035 Lougheed Hwy.,,Coquitlam,BC,V3K 6N5,Canada,(604) 527-8883,49.2354152169,-122.865581885,"Sun - Thu: 11:00 AM - 12:00 AM, Fri - Sat: 11:00 AM - 2:00 AM",,,
Mission,51,160-32555 London Avenue,,Mission,BC,V2V 6M7,Canada,(604) 820-4223,49.128795964,-122.318210525,"Sun - Thu: 11:00 AM - 12:00 AM, Fri - Sat: 11:00 AM - 1:00 AM",,,
Ironwood,54,2000-11662 Steveston Hwy,,Richmond,BC,V7A 1N6,Canada,(604) 448-9991,49.1333482851,-123.095663637,"Sundays: 11:00 AM - 2:00 AM, Mondays: 11:00 AM - 1:00 AM, Tue - Sat: 11:00 AM - 2:00 AM",,,
North Vancouver,56,1078 Marine Drive,,North Vancouver,BC,V7P 1S5,Canada,(604) 984-0407,49.323913978,-123.103832543,"Sundays: 11:00 AM - 12:00 AM, Mon - Sat: 11:00 AM - 1:00 AM",,,
Ackroyd,57,#50 8100 Ackroyd Road,,Richmond,BC,V6X 3K2,Canada,(604) 273-6151,49.1720891181,-123.135360697,Sun - Sat: 11:00 AM - 2:00 AM,,,
Abbotsford,58,2060 Sumas Way,,Abbotsford,BC,V2S 2C7,Canada,(604) 504-5900,49.037449014,-122.268186219,Sun - Sat: 11:00 AM - 2:00 AM,,,
Fleetwood,59,801-15980 Fraser Hwy,,Surrey,BC,V3S 2W4,Canada,(604) 507-5507,49.157806,-122.780395,"Sun - Mon: 11:00 AM - 12:00 AM, Tue - Sat: 11:00 AM - 2:00 AM",,,
Coquitlam Centre,60,710-3025 Lougheed Hwy,,Coquitlam,BC,V3B 1C6,Canada,(604) 941-6414,49.2743848613,-122.79247154,"Sun - Thu: 11:00 AM - 1:00 AM, Fri - Sat: 11:00 AM - 2:00 AM",,,
Guildford,61,15125 100th Avenue,,Surrey,BC,V3R 9P4,Canada,(604) 581-3600,49.1842844208,-122.803235918,Sun - Sat: 11:00 AM - 2:00 AM,,,
White Rock,62,1956 152nd Street,,Surrey,BC,V4A 4N6,Canada,(604) 531-3333,49.0375992782,-122.801159541,"Sun - Thu: 11:00 AM - 1:00 AM, Fri - Sat: 11:00 AM - 2:00 AM",,,
Langley,63,19700 Langley ByPass,,Langley,BC,V3A 7B1,Canada,(604) 534-5233,49.1106993778,-122.67801123,"Sun - Thu: 11:00 AM - 1:00 AM, Fri - Sat: 11:00 AM - 2:00 AM",,,
Clearbrook,64,32530 S. Fraser Way,,Abbotsford,BC,V2T 1X5,Canada,(604) 859-3333,49.0512186754,-122.323387808,Sun - Sat: 11:00 AM - 2:00 AM,,,
Chilliwack,67,45305 Luckakuck Way,,Chilliwack,BC,V2R 3C7,Canada,(604) 858-3333,49.1426066065,-121.971633066,Sun - Sat: 11:00 AM - 12:00 AM,,,
New West,72,1045 Columbia Street,,New Westminster,BC,V3M 1C4,Canada,(604) 525-3340,49.2001919314,-122.917122492,Sun - Sat: 11:00 AM - 2:00 AM,,,
Newton,73,"600-7488 King George Hwy
King's Cross Mall",,Surrey,BC,V3W 0H9,Canada,(604) 599-8877,49.1391095496,-122.845323544,Sun - Sat: 11:00 AM - 2:00 AM,,,
