store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,store_type,other_fields,coming_soon
Oak Park Mall,,11577 West 95th Street,,Overland Park,,66214,United States,913-495-2318,,,"Mon 10:00 AM - 9:00 PM, Tue 10:00 AM - 9:00 PM, Wed 10:00 AM - 9:00 PM, Thu 10:00 AM - 9:00 PM, Fri 10:00 AM - 9:00 PM, Sat 10:00 AM - 9:00 PM, Sun 11:00 AM - 6:00 PM",,,
St Louis Galleria,,2047 St Louis Galleria,,St. Louis,,63117,United States,314-862-1988,,,"Mon 10:00 AM - 9:00 PM, Tue 10:00 AM - 9:00 PM, Wed 10:00 AM - 9:00 PM, Thu 10:00 AM - 9:00 PM, Fri 10:00 AM - 9:00 PM, Sat 10:00 AM - 9:00 PM, Sun 11:00 AM - 6:00 PM",,,
Jordan Creek Town Center,,101 Jordan Creek Parkway,,West Des Moines,,50266,United States,515-225-4738,,,"Mon 10:00 AM - 9:30 PM, Tue 10:00 AM - 9:30 PM, Wed 10:00 AM - 9:30 PM, Thu 10:00 AM - 9:30 PM, Fri 10:00 AM - 9:30 PM, Sat 10:00 AM - 9:30 PM, Sun 11:00 AM - 6:00 PM",,,
Barton Creek Square,,2901 Capitol of Texas Highway,,Austin,,78746,United States,512-327-4358,,,"Mon 10:00 AM - 9:00 PM, Tue 10:00 AM - 9:00 PM, Wed 10:00 AM - 9:00 PM, Thu 10:00 AM - 9:00 PM, Fri 10:00 AM - 9:00 PM, Sat 10:00 AM - 9:00 PM, Sun 12:00 PM - 6:00 PM",,,
Houston Airport,,"Terminal B, Space B28B",,Houston,,77032,United States,281-230-3806,,,"Mon 12:00 AM - 12:00 PM, Tue 12:00 AM - 12:00 PM, Wed 12:00 AM - 12:00 PM, Thu 12:00 AM - 12:00 PM, Fri 12:00 AM - 12:00 PM, Sat 12:00 AM - 12:00 PM, Sun 12:00 AM - 12:00 PM",,,
Green Hills Mall,,2126 Abbott Martin Road,,Nashville,,37215,United States,615-385-0969,,,"Mon 10:00 AM - 9:00 PM, Tue 10:00 AM - 9:00 PM, Wed 10:00 AM - 9:00 PM, Thu 10:00 AM - 9:00 PM, Fri 10:00 AM - 9:00 PM, Sat 10:00 AM - 9:00 PM, Sun 12:00 PM - 6:00 PM",,,
Denver Airport Concourse C,,9100 Pena Boulevard,,Denver,,80249,United States,303-342-7367,,,"Mon 5:30 AM - 9:00 PM, Tue 5:30 AM - 9:00 PM, Wed 5:30 AM - 9:00 PM, Thu 5:30 AM - 9:00 PM, Fri 5:30 AM - 9:00 PM, Sat 5:30 AM - 9:00 PM, Sun 5:30 AM - 9:00 PM",,,
Park Meadows,,8405 Park Meadows Center Dr. Suite 1057,,Littleton,,80124,United States,303-799-4252,,,"Mon 10:00 AM - 9:00 PM, Tue 10:00 AM - 9:00 PM, Wed 10:00 AM - 9:00 PM, Thu 10:00 AM - 9:00 PM, Fri 10:00 AM - 9:00 PM, Sat 10:00 AM - 9:00 PM, Sun 11:00 AM - 6:00 PM",,,
Cherry Creek,,3000 E. First Avenue,,Denver,,80206,United States,303-322-2953,,,"Mon 10:00 AM - 9:00 PM, Tue 10:00 AM - 9:00 PM, Wed 10:00 AM - 9:00 PM, Thu 10:00 AM - 9:00 PM, Fri 10:00 AM - 9:00 PM, Sat 10:00 AM - 9:00 PM, Sun 11:00 AM - 6:00 PM",,,
Woodfield Mall,,"5 Woodfield Mall. Lower Level, Nordstrom Wing",,Schaumburg,,60173,United States,847-619-1719,,,"Mon 10:00 AM - 9:00 PM, Tue 10:00 AM - 9:00 PM, Wed 10:00 AM - 9:00 PM, Thu 10:00 AM - 9:00 PM, Fri 10:00 AM - 9:00 PM, Sat 10:00 AM - 9:00 PM, Sun 11:00 AM - 6:00 PM",,,
