store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,store_type,other_fields,coming_soon
The Medicine Shoppe Pharmacy,,542 South Eufaula,,Eufaula,AL,36027-2306,United States,(334) 687-0021,,,"Mon-Fri: 9:00-6:00, Sat: 9:00-1:00, Sun: Closed",,,
The Medicine Shoppe Pharmacy,,"2125 College Ave.,  Suite 1",,Conway,AR,72034,United States,(501) 327-8088,,,"Mon-Fri: 8:30-6:30, Sat: 8:30-1:00, Sun: Closed",,,
The Medicine Shoppe Pharmacy,,211 Cedar Street,,Greenville,AL,36037-2205,United States,(334) 382-6574,,,"Mon-Fri: 9:00-5:30, Sat: 9:00-12:30, Sun: Closed",,,
The Medicine Shoppe Pharmacy,,311A Shelton Beach Road,,Saraland,AL,36571-2717,United States,(251) 679-9095,,,"Mon-Fri: 10:00am - 6:00pm, Sat: 10:00am - 1:00pm, Sun: Closed",,,
The Medicine Shoppe Pharmacy,,1465A South Alabama Ave.,,Monroeville,AL,36460-1200,United States,(251) 575-9656,,,"Mon-Fri: M-F 9:00-6:00, Sat: Sat 9:30-1:00, Sun: Sun Closed",,,
The Medicine Shoppe Pharmacy,,959 East Main Street,,Prattville,AL,36066,United States,334.358.1630,,,"Mon-Fri: 10am - 6pm, Sat: 10am - 1pm, Sun: Closed",,,
The Medicine Shoppe Pharmacy,,1144 Airport Drive,,Alexander City,AL,35010-3435,United States,(256) 215-8014,,,"Mon-Fri: 8:00am - 6:00pm, Sat: 8:00am - 12:00pm, Sun: Closed",,,
The Medicine Shoppe Pharmacy,,2006 Danville Rd SW,,Decatur,AL,35601-4640,United States,(256) 350-3338,,,"Mon-Fri: 9:00-6:00, Sat: 9:00-1:00, Sun: Closed",,,
The Medicine Shoppe Pharmacy,,812 Fifth Street,,Marysville,CA,95901-5615,United States,(530) 743-4629,,,"Mon-Fri: M-F 9:30-6:00, Sat: Sat. 10:00-1:00, Sun: Sun Closed",,,
The Medicine Shoppe Pharmacy,,795 West Fourth Street,,Benson,AZ,85602,United States,(520) 586-1299,,,"Mon-Fri: 9:00am - 6:00pm, Sat: 9:00am - 12:00pm, Sun: Closed",,,
The Medicine Shoppe Pharmacy,,325 Southwest Drive,,Jonesboro,AR,72401,United States,(870) 935-1340,,,"Mon-Fri: 9:00am-5:30pm, Sat: 9:00am-12:00pm, Sun: Closed",,,
The Medicine Shoppe Pharmacy,,2701 E Patton Road,,Huntsville,AL,35805,United States,256.536.1910,,,"Mon-Fri: 10:00am-6:00pm, Sat: 10:00am-1:00pm, Sun: Closed",,,
The Medicine Shoppe Pharmacy,,718 N. Main St. #B,,Taylor,AZ,85939,United States,(928) 536-2044,,,"Mon-Fri: 9:00am - 7:00pm, Sat: 9:00am - 5:00pm, Sun: Closed",,,
The Medicine Shoppe Pharmacy,,3836 John F Kennedy Blvd,,North Little Rock,AR,72116-8248,United States,(501) 758-1010,,,"Mon-Fri: 9:00-6:00, Sat: 9:00-12:00, Sun: Closed",,,
The Medicine Shoppe Pharmacy,,270 Industrial Blvd,,Leesburg,AL,35983-3737,United States,(256) 526-6337,,,"Mon-Fri: 8:00–6:00, Sat: 9:00–2:00, Sun: Closed",,,
The Medicine Shoppe Pharmacy,,1701 Club Manor Dr.,,Maumelle,AR,72113,United States,501-851-4949,,,"Mon-Fri: 8:30am - 6:30pm, Sat: 8:30am - 1:00pm, Sun: Closed",,,
The Medicine Shoppe Pharmacy,,174 S Sunrise Way,,Palm Springs,CA,922162,United States,760-778-8870,,,"Mon-Fri: 9:00am-6:30pm, Sat: 10:00am-3:00pm, Sun: Closed",,,
The Medicine Shoppe Pharmacy,,2795 West Lincoln,,Anaheim,CA,92801-6334,United States,(714) 995-0071,,,"Mon-Fri: 9:00am - 6:00pm, Sat: 9:00am - 2:00pm, Sun: Closed",,,
The Medicine Shoppe Pharmacy,,1125 East 17th Street,,Santa Ana,CA,92701,United States,(714) 999-0075,,,"Mon-Fri: 9:00 am - 6:00 pm, Sat: Closed, Sun: Closed",,,
The Medicine Shoppe Pharmacy,,3159 W Colorado Avenue,,Colorado Springs,CO,80904-2040,United States,(719) 475-9030,,,"Mon-Fri: 9:00-6:00, Sat: 9:00-1:00, Sun: Closed",,,
The Medicine Shoppe Pharmacy,,4009 North Marks Avenue,,Fresno,CA,93722,United States,559-226-1201,,,"Mon-Fri: 10:00am - 6:00pm, Sat: 10:00am - 1:00pm, Sun: Closed",,,
The Medicine Shoppe Pharmacy,,1477 S SAN JACINTO AVE,,San Jacinto,CA,92581-1417,United States,(951) 654-2791,,,"Mon-Fri: 9:00-6:00, Sat: 9:00-12:00, Sun: Closed",,,
