store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,store_type,other_fields,coming_soon
,,785 Star St Suite 112,,Phoenixville,Pennsylvania,19460,USA,484-974-2266,,,"Monday 6:00 am - 1:00 pm 3:00 pm - 8:00 pm , Tuesday 8:00 am - 1:00 pm 3:00 pm - 8:00 pm , Wednesday 6:00 am - 1:00 pm 3:00 pm - 8:00 pm , Thursday 8:00 am - 1:00 pm 3:00 pm - 8:00 pm , Friday 8:00 am - 1:00 pm 3:00 pm - 6:30 pm , Saturday 8:00 am - 1:00 pm ",,,0
,,3967 Ford Rd,,Philadelphia,Pennsylvania,19131,USA,215-877-9RND (9763),,,,,,0
,,6501 E. Greenway Parkway Suite 109,,Scottsdale,Arizona,85254,USA,480-607-4948,,,"Monday 9:00 am - 1:30 pm 3:30 pm - 8:00 pm , Tuesday 9:00 am - 1:30 pm 3:30 pm - 8:00 pm , Wednesday 9:00 am - 1:30 pm 3:30 pm - 8:00 pm , Thursday 9:00 am - 1:30 pm 3:30 pm - 8:00 pm , Friday 9:00 am - 1:30 pm 3:30 pm - 6:00 pm , Saturday 9:00 am - 1:00 pm ",,,0
,,6071 Chandler Court,,Westerville,Ohio,43082,USA,614-392-2788,,,"Monday 6:00 am - 1:00 pm 3:00 pm - 8:00 pm , Tuesday 8:00 am - 1:00 pm 3:00 pm - 8:00 pm , Wednesday 6:00 am - 1:00 pm 3:00 pm - 8:00 pm , Thursday 8:00 am - 1:00 pm 3:00 pm - 8:00 pm , Friday 6:00 am - 1:00 pm 3:00 pm - 7:00 pm , Saturday 8:00 am - 1:00 pm ",,,0
,,1221 El Paseo Rd,,Las Cruces,New Mexico,88001,USA,575-652-1071,,,"Monday 8:00 am - 1:30 pm 3:30 pm - 8:00 pm , Tuesday 8:00 am - 1:30 pm 3:30 pm - 8:00 pm , Wednesday 8:00 am - 1:30 pm 3:30 pm - 8:00 pm , Thursday 8:00 am - 1:30 pm 3:30 pm - 8:00 pm , Friday 8:00 am - 1:30 pm 3:30 pm - 7:00 pm , Saturday 8:00 am - 12:00 pm ",,,0
,,2553 Kirsten Lane S #204,,Fargo,North Dakota,58104,USA,(701) 478-KICK,,,"Monday 5:30 am - 1:00 pm 3:00 pm - 8:00 pm , Tuesday 5:30 am - 1:00 pm 3:00 pm - 8:00 pm , Wednesday 5:30 am - 1:00 pm 3:00 pm - 8:00 pm , Thursday 5:30 am - 1:00 pm 3:00 pm - 8:00 pm , Friday 9:00 am - 1:00 pm 3:00 pm - 6:00 pm , Saturday 8:00 am - 12:00 pm , Sunday 1:00 pm - 4:00 pm ",,,0
,,6909 W Hefner Ste. B-6,,Oklahoma City,Oklahoma,73162,USA,405-470-1946,,,"Monday 9:00 am - 1:30 pm 3:30 pm - 8:00 pm , Tuesday 6:00 am - 1:30 pm 3:30 pm - 8:00 pm , Wednesday 9:00 am - 1:30 pm 3:30 pm - 8:00 pm , Thursday 9:00 am - 1:30 pm 3:30 pm - 8:00 pm , Friday 9:00 am - 1:30 pm 3:30 pm - 7:00 pm , Saturday 9:00 am - 1:00 pm ",,,0
,,3291 Del Rey Blvd #9,,Las Cruces,New Mexico,88012,USA,575-652-2138,,,"Monday 5:00 am - 1:30 pm 3:30 pm - 8:00 pm , Tuesday 5:00 am - 1:30 pm 3:30 pm - 8:00 pm , Wednesday 5:00 am - 1:30 pm 3:30 pm - 8:00 pm , Thursday 5:30 am - 1:30 pm 3:30 pm - 8:00 pm , Friday 5:30 am - 1:30 pm 3:30 pm - 7:00 pm , Saturday 8:00 am - 12:00 pm ",,,0
,,423 Larchmont Blvd,,Mount Laurel,New Jersey,08054,USA,856-722-9200,,,"Monday 8:00 am - 1:00 pm 3:00 pm - 8:00 pm , Tuesday 5:30 am - 10:30 am 3:00 pm - 8:00 pm , Wednesday 8:00 am - 1:00 pm 3:00 pm - 8:00 pm , Thursday 5:30 am - 10:30 am 3:00 pm - 8:00 pm , Friday 8:00 am - 1:00 pm 3:00 pm - 7:00 pm , Saturday 8:00 am - 12:00 pm , Sunday 8:00 am - 12:00 pm ",,,0
,,8605 W. 26th St.,,Sioux Falls,South Dakota,57106,USA,605.275.8855,,,"Monday 5:30 am - 9:00 am 11:00 am - 1:00 pm 3:00 pm - 7:00 pm , Tuesday 5:30 am - 9:00 am 11:00 am - 1:00 pm 3:00 pm - 7:00 pm , Wednesday 5:30 am - 9:00 am 11:00 am - 1:00 pm 3:00 pm - 7:00 pm , Thursday 5:30 am - 9:00 am 11:00 am - 1:00 pm 3:00 pm - 7:00 pm , Friday 5:30 am - 9:00 am 11:00 am - 1:00 pm 3:00 pm - 7:00 pm , Saturday 8:00 am - 12:00 pm ",,,0
,,625 Crown Pointe Lane,,Rock Hill,South Carolina,29730,USA,803-792-0319,,,"Monday 7:00 am - 1:30 pm 4:00 pm - 8:00 pm , Tuesday 8:00 am - 1:30 pm 4:00 pm - 8:00 pm , Wednesday 7:00 am - 1:30 pm 4:00 pm - 8:00 pm , Thursday 8:00 am - 1:30 pm 4:00 pm - 8:00 pm , Friday 7:00 am - 1:30 pm 4:00 pm - 6:30 pm , Saturday 8:00 am - 12:00 pm ",,,0
,,109 Grandview Dr.,,Summerville,South Carolina,29483,USA,1 843 291-9464,,,"Monday 7:00 am - 12:30 pm 3:30 pm - 8:00 pm , Tuesday 8:00 am - 1:30 pm 3:30 pm - 8:30 pm , Wednesday 8:00 am - 1:30 pm 3:30 pm - 8:30 pm , Thursday 8:00 am - 1:30 pm 3:30 pm - 8:30 pm , Friday 7:00 am - 12:30 pm 3:30 pm - 7:00 pm , Saturday 8:00 am - 12:00 pm ",,,0
,,3283 Reidville Rd,,Spartanburg,South Carolina,29301,USA,(864) 308-8330,,,"Monday 8:00 am - 1:00 pm 3:30 pm - 8:00 pm , Tuesday 8:00 am - 1:00 pm 3:30 pm - 8:00 pm , Wednesday 8:00 am - 1:00 pm 3:30 pm - 8:00 pm , Thursday 8:00 am - 1:00 pm 3:30 pm - 8:00 pm , Friday 8:00 am - 1:00 pm 3:30 pm - 7:00 pm , Saturday 9:00 am - 1:00 pm ",,,0
,,318 E. Silver Spring Dr.,,Whitefish Bay,Wisconsin,53217,USA,(414) 967-8778,,,"Monday 6:00 am - 1:30 pm 3:30 pm - 8:00 pm , Tuesday 6:00 am - 1:30 pm 3:30 pm - 8:00 pm , Wednesday 8:00 am - 1:30 pm 3:30 pm - 8:00 pm , Thursday 6:00 am - 1:30 pm 3:30 pm - 8:00 pm , Friday 8:00 am - 1:30 pm 3:30 pm - 7:00 pm , Saturday 8:00 am - 1:00 pm ",,,0
