store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,store_type,other_fields,coming_soon
Diamond Center,9438102,800 East Diamond Ctr3116,,Anchorage,AK,99515,USA,9075222560,61.1456649,-149.8716301,,,,
Foothills Mall - Bakery Cafe,9376101,7401 N La Cholla Blvd Ste 155,,Tucson,AZ,85741-2329,USA,5205318404,32.3411619,-111.0142987,"Mo, Tu, We, Th, Fr, Sa: 10am to 9pm. Su: 11am to 6pm",,,
Anniston 2,9040302,1903 Quintard Ave,,Anniston,AL,36201-3217,USA,2562388229,33.6698,-85.8264,"M, T, W, Th: 12 a.m. to 9 p.m.<br/>F, Sa: 12 a.m. to 10 p.m.<br/>Su: Noon to 9 p.m.",,,
Essex Square Market Place,9017905,2 McFarland Blvd,,Northport,AL,35476-3348,USA,2057586855,33.2361582,-87.5523731,"Mo, Tu, We, Th: 11am to 10pm. Fr, Sa: 11am to 11pm. Su: 12pm to 10pm",,,
Meadowbrook,9017906,2304 McFarland Blvd E,,Tuscaloosa,AL,35404-5802,USA,2053494661,33.1889321,-87.526194,"M, T, W, Th, F, Sa: 11 AM to 12 mid<br/>Su: 12 PM to 12 mid",,,
Corner Village,9291601,300 N Dean Rd Ste 3,,Auburn,AL,36830-5045,USA,3348268828,32.6100321,-85.4648807,"Mo, Tu, We, Th, Fr, Sa: 11am to 11pm. Su: 12pm to 11pm",,,
1352-1 Eufaula Ave.,9432401,1352-1 Eufaula Ave.,,Eufaula,AL,36027,USA,3345463966,31.8766954,-85.1506823,,,,
Gulf Shores,9345604,1301 Gulf Shores Pkwy,,Gulf Shores,AL,36542,USA,4072262689,30.262924,-87.688828,"Mo, Tu, We, Th, Fr, Sa: 10:30am to 10:30pm. Su: 11am to 10:30pm",,,
Merchants Walk,9436001,1919 28th Avenue S,,Birmingham,AL,35209,USA,2058708229,33.4808268,-86.7881374,,,,
LANDMARK THEATER COUNTRY HILLS,1060011,15051 101st Ave,,Surrey,BC,V3R 7Z1,CANADA,9045820784,49.186153,-122.806416,,,,
Bellevue Avenue,1060099,1503 Bellevue Ave,,West Vancouver,BC,V7V 1A6,CANADA,6049228209,49.3274241,-123.1568734,"Mo, Tu, We, Th, Fr, Sa, Su: 12pm to 9pm",,,
Landmark Fort St John,1060106,Unit 2000,,Fort St. John,BC,V1J 5Z2,CANADA,2507858814,56.2388759,-120.8420848,,,,
Hurricane Creek Village,9438201,20770 I-30 North,,Benton,AR,72019,USA,5017946838,34.60014,-92.5494801,"M, T, W, Th: 11 to 9<br/>F, Sa: 11 to 10<br/>Su: 11 to 8",,,
Promenade Pointe,9438901,2005 Promenade Point Boulevard,,Rogers,AR,72758,USA,4796368229,36.2989178,-94.1718542,,,,
Dave Ward Drive,9315001,3900 Dave Ward Dr Ste 2300,,Conway,AR,72034-5581,USA,5013270909,35.073016,-92.495313,"Mo, Tu, We, Th, Fr: 8am to 10pm. Sa, Su: 9am to 10pm",,,
Harrison,9109311,1313 Highway 62 65 N  G,,Harrison,AR,72601-2013,USA,8707419554,36.2622867,-93.1328656,"Fr, Sa: 11am to 10:30pm. Su: 11am to 9:30pm",,,
Lakewood Village,9411601,2600 Lakewood Village Pl Ste E,,North Little Rock,AR,72116-8049,USA,5017535572,34.7977281,-92.2331152,"Mo, Tu, We, Th: 10am to 10pm. Fr, Sa: 10am to 10:30pm. Su: 12pm to 10pm",,,
Markham Plaza,9109314,11418 W Markham St,,Little Rock,AR,72211-2806,USA,5012219020,34.754353,-92.4032546,"Mo, Tu, We, Th: 11am to 10pm. Fr, Sa: 11am to 11pm. Su: 12am to 10pm",,,
Hot Springs,9427801,1340 Higdon Ferry Rd,,Hot Springs,AR,71913-6411,USA,5015200700,34.4611469,-93.060703,"M, T, W, Th: 12 a.m. to 9 p.m.<br/>F, Sa: 11 a.m. to 10 p.m.<br/>Su: 12 p.m. to 9 p.m.",,,
Country Club Village,9438701,2831 W. 120th Avenue,,Westminster,CO,80234,USA,7208878087,39.9148696,-105.0217724,,,,
Denver Int'l Airport/Conc B,9028809,P.O. Box 492025,,Denver,CO,80249,USA,3033426971,39.8786639,-104.6821048,"Mo, Tu, We, Th, Fr, Sa, Su: 5am to 10pm",,,
Denver Int'l Airport/Conc C,9028810,P.O. Box 492025,,Denver,CO,80249,USA,3033426972,39.8786639,-104.6821048,"Mo, Tu, We, Th, Fr, Sa: 4:30am to 10pm. Su: 4:30am to 9pm",,,
Craig Subway,9261901,1420 W Victory Way,,Craig,CO,81625-3412,USA,9708242900,40.5141391,-107.5635232,"Mo, Tu, We, Th, Fr, Sa, Su: 7am to 10pm",,,
