store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,store_type,other_fields,coming_soon
,,408 W. Juanita Ave.,Country Club,Mesa,AZ,85210,United States,(480) 833-6540,,,"Mon-Sat: 7:00am-9:00pm,  Sun: 9:00am-8:00pm",,,
,,1140 N. Higley Rd.,Ste. 103,Mesa,AZ,85205,United States,(480) 654-8028,,,"Mon-Fri: 7:00am-8:00pm,  Sat: 8:00a.m.- 8:00pm,  Sun: 9:00am-3:00pm",,,
,,395 N. Litchfield Rd.,,Goodyear,AZ,85338,United States,(623) 925-2009,,,Mon-Fri: 7:30am-9:00pm | Sat: 8:00am - 9:00pm | Sun: 8:00am-8:00pm,,,
,,2700-B Parker Dr.,La Frontera,Round Rock,TX,78681,United States,(512) 671-6101,,,Mon-Sun: 9:00am-10:00pm,,,
,,10070 N. 90th St.,,Scottsdale,AZ,85258,United States,(480) 657-9449,,,Mon - Sat: 7:00 AM - 9:00 PM  Sun: 9:00 AM - 8:00 PM,,,
,,500 Canyon Ridge Dr. Bldg. G,Center Park at Tech Ridge (Parmer at I-35),Austin,TX,78753,United States,(512) 873-8700,,,Mon-Sun. 9:00am-10:00pm,,,
,,4601 South Medford,Southloop Crossing,Lufkin,TX,75901,United States,(936) 639-4900,,,"Mon-Sat: 10:30am-9:00pm,  Sun: 11:00am-7:00pm",,,
,,17279 Interstate 20 Service Road,,Canton,TX,75103,United States,903-567-5000,,,Monday- Sunday: 7:00am- 10:00pm,,,
,,720 US Hwy 271 N.,,Gilmer,TX,75664,United States,903-680-3354,,,Mon.- Sat.: 7AM -9PM Sun.: 8AM-9PM,,,
,,1429 W. Loop 281,,Longview,TX,75604,United States,(903) 297-8030,,,"Mon-Sat: 10:30am-9:00pm,  Sun: 11:00am-7:00pm",,,
,,2608 North Street,,Nacogdoches,TX,75965,United States,(936) 564-2867,,,"Mon-Sat: 10:30am-9:00pm,  Sun: 11:00am-8:00pm",,,
,,1320 North HIghway 377,,Roanoke,TX,76262,United States,(817) 541-8273,,,Mon.- Fri. 10:00am-10:00pm Sat.-Sun. 10:00am-10:00om,,,
,,1831 South Main Street,,Weatherford,TX,76086,United States,(817) 599-3900,,,Mon-Sun: 10:00am-10:00pm,,,
,,1605 Stadium Blvd,,Jonesboro,AR,72401,United States,(870) 336-0660,,,Mon. - Sun. 10:00am-9:00pm,,,
,,4758 Poplar Avenue,Poplar Avenue,Memphis,TN,38117,United States,(901) 763-0741,,,"Mon-Sat: 10:30am-8:00pm,  Sun: 11:00am-4:00pm",,,
,,1840 Lee Trevino,Suite #705,El Paso,TX,79936,United States,(915) 592-2867,,,Mon-Fri: 7:00am-9:00pm | Sat: 8:00am-9:00pm | Sun: 8:00am-8:00pm,,,
,,7040 N. Mesa B-1,,El Paso,TX,79912,United States,(915) 581-7400,,,Mon-Sun: 10:00am-9:00pm,,,
,,1100 Waters Edge Drive,,Granbury,TX,76048,United States,(817) 573-9909,,,Mon-Sun: 10:00am-10:00pm,,,
,,2012 West Washington Street,,Stephenville,TX,76401,United States,(254) 434-5180,,,Sun - Thur:9:00 AM - 9:00 PM Fri - Sat:9:00 AM - 9:00 PM,,,
,,2381 N. Academy Blvd.,North Academy,Colorado Springs,CO,80909,United States,(719) 574-0337,,,"Mon-Sat: 10:30am-9:00pm,  Sun: 10:30am-7:00pm Winter hours Mon- Sat 10:30am-8pm",,,
,,4212 S. College Ave.,,Ft. Collins,CO,80525,United States,(970) 226-1711,,,"Mon-Sat: 10:30am-8:00pm,  Sun: 11:00am-7:00pm",,,
,,4560 Centennial Blvd.,,Colorado Springs,CO,80919,United States,(719) 528-5678,,,"Mon-Sat: 10:30am-9:00pm,  Sun: 10:30am-7:00pm (Drive Thru Opens at 9AM)",,,
,,"1763 University Blvd., Ste. A",Pan Am Plaza,Las Cruces,NM,88001,United States,(575) 522-3355,,,Sun - Sat 10:00am - 9:00pm,,,
,,8310 Razorback Rd.,,Colorado Springs,CO,80920,United States,(719) 536-0001,,,"Mon-Sat: 7:00am-9:00pm,  Sun: 7:00am-8:00pm",,,
,,1266 S. Hover St.,,Longmont,CO,80501,United States,(303) 651-7410,,,"Mon-Sat: 10:00am-8:00pm,  Sun: 10:00am-7:00pm",,,
,,8500 Pena Blvd,"Denver International Airport, Concourse A",Denver,CO,80249,United States,(303) 342-5680,,,"Mon-Sat: 10:30am-9:00pm,  Sun: 11:00am-7:00pm",,,
,,1869 S Nevada Ave,Southern Cross Shopping Center,Colorado Springs,CO,80905,United States,(719) 633-5445,,,"Mon-Sat: 10:30am-8:00pm,  Sun: 11:00am-6:00pm",,,
,,6330 S. Parker Rd.,,Aurora,CO,80016,United States,(303) 680-2075,,,"Mon-Th: 10:00am-9:00pm,  Fri-Sat: 10:00am-10:00pm Sun. 10:00am-7:00pm",,,
,,9624 Arapahoe Rd,,Greenwood Village,CO,80112,United States,(720) 266-5200,,,"Mon-Sat: 10:00am-8:00pm,  Sun: 10:00am-4:00pm",,,
,,3101 Mountain Drive,Corsicana Crossing,Corsicana,TX,75110,United States,(903) 641-2867,,,Mon - Sun 9:00 AM - 10:00 PM,,,
,,705 SE Wilshire Blvd.,,Burleson,TX,76028,United States,(817)295-5606,,,Mon.-Sun. 10:00 am-10:00 pm,,,
,,3124 Regency Ln,,Denison,TX,75020,United States,(903) 462-4592,,,Mon.-Sun. 10:30am-9:00pm,,,
,,1216 W Henderson St.,,Cleburne,TX,76033,United States,(817) 645-6677,,,Mon-Sun: 10:00am-10:00pm,,,
,,200 IH 35 N.W.,,Hillsboro,TX,76645,United States,(254) 582-5155,,,Mon-Sun: 9:00am-10:00pm,,,
,,6204 McCart Avenue,McCart Avenue,Fort Worth,TX,76133,United States,(817) 294-8601,,,"Mon-Sat: 10:30am-9:00pm,  Sun: 10:30am-8:00pm",,,
,,"6000 Camp Bowie Boulevard, Suite 110",Camp Bowie,Fort Worth,TX,76116,United States,(817) 732-3021,,,"Mon-Sat: 10:30am-9:00pm,  Sun: 11:00am-7:00pm",,,
,,3530 NW Centre Drive,Landmark Lakes,Fort Worth,TX,76135,United States,(817) 882-6885,,,"Mon - Sat 10:00 AM to 10:00 PM, Sun 11:00 AM to 8 PM",,,
,,3216 S.E. Loop 820,Forest Hill,Fort Worth,TX,76140,United States,(817) 551-7733,,,Mon-Sun: 10:00am-10:00pm,,,
,,1610 State Highway 34 South,,Terrell,TX,75160,United States,(972) 551-0793,,,"Mon-Sat: 10:30am-9:00pm,  Sun: 11:00am-9:00pm",,,
,,6834 South Wesley,Crossroads Mall,Greenville,TX,75402,United States,(903) 454-6164,,,Open Everyday: 10:30am-9:00pm,,,
